serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-75.64,4.27,0.37,-1.94,70.08,-123.87,29.29,17.85,10.24,-110.25
2,-78.90,2.88,-0.07,-0.33,64.63,-103.93,25.47,12.44,4.47,-110.69
3,-80.39,4.55,1.72,0.16,65.63,-113.26,25.56,13.40,5.25,-101.43
4,-80.62,5.06,2.54,1.68,65.30,-115.06,26.21,13.91,5.61,-111.08
5,-82.84,5.52,3.10,1.89,67.56,-112.83,25.97,14.02,5.63,-103.44
6,-77.19,13.55,8.23,3.01,64.53,20.53,25.17,14.48,7.98,-23.77
7,-78.42,13.97,7.40,1.89,67.13,39.56,23.61,13.03,8.19,-91.36
8,-85.59,14.18,9.12,2.31,65.98,-48.03,25.23,15.43,9.93,-110.14
9,-83.33,12.09,4.48,-0.72,65.92,-58.78,22.75,12.54,8.38,-102.70
10,-82.47,12.05,4.35,-0.82,68.52,-60.70,24.07,13.54,9.17,-99.35
11,-81.65,11.14,3.83,-0.38,71.27,-64.40,24.90,14.77,11.19,-107.51
12,-83.57,12.60,5.30,0.42,68.28,-55.37,23.83,13.40,9.54,-103.93
13,-85.08,13.54,6.58,1.81,69.39,-35.20,23.78,13.68,9.56,-100.24
14,-83.46,12.48,4.99,-0.11,68.19,-30.10,23.19,12.43,8.04,-98.56
15,-83.29,12.43,5.45,0.60,61.76,-39.49,24.75,14.35,10.16,-112.72
16,-83.56,11.84,4.10,-1.27,66.94,-44.23,24.74,14.59,10.85,-101.12
17,-83.82,12.09,3.74,-2.54,65.91,-37.12,24.03,13.55,9.49,-92.46
18,-84.40,12.64,5.21,0.29,64.57,-29.61,24.31,13.77,9.74,-111.84
19,-81.50,10.82,2.51,-3.58,65.77,-32.37,23.80,12.98,8.93,-99.25
20,-84.18,13.07,6.06,0.73,68.72,-42.25,25.79,15.53,11.99,-112.15
21,-85.55,13.44,5.87,0.39,65.77,-35.01,24.17,13.62,9.52,-111.34
22,-85.34,13.10,4.12,-3.87,64.64,-49.60,24.17,13.57,9.94,-88.77
23,-82.53,11.29,2.94,-4.20,69.10,-44.71,24.97,14.73,11.19,-92.52
24,-85.14,13.48,5.76,-0.66,68.10,-47.03,25.62,15.32,11.38,-101.01
25,-86.18,13.70,5.40,-1.57,70.50,-58.83,25.74,15.65,12.37,-99.41
26,-83.63,12.43,3.84,-3.70,66.87,-23.76,23.31,12.67,8.93,-91.23
27,-83.60,12.26,3.89,-3.07,70.54,-43.64,25.53,15.22,11.80,-93.14
28,-84.47,13.18,5.29,-1.50,67.65,-26.12,24.20,13.60,9.89,-99.98
29,-83.60,12.40,4.08,-3.12,68.57,-28.32,24.16,13.52,9.76,-91.79
30,-83.99,12.71,4.69,-2.40,69.70,-35.06,24.70,14.32,10.73,-94.26
31,-84.04,12.71,4.91,-1.59,71.20,-35.00,25.25,14.73,10.96,-99.17
32,-82.23,11.59,3.03,-4.26,67.76,-30.18,24.28,13.74,9.89,-93.59
